Unnamed: 0,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,9,3,8450,1,2,3,0,4,0,5,7,5,2003,2003,1,196,3,2,3,706,0,150,856,1,0,1710,1,0,2,1,3,1,3,8,0,4,2,548,2,61,0,0,0,0,0,3,2008,2,5,208500
1,4,3,9600,1,2,3,0,2,0,2,6,7,1976,1976,1,0,0,1,3,978,0,284,1262,1,0,1262,0,0,2,0,3,1,0,6,1,0,2,460,2,0,0,0,0,0,0,8,2007,2,5,181500
2,9,3,11250,1,3,3,0,4,0,5,7,5,2001,2002,1,162,3,2,3,486,0,434,920,1,0,1786,1,0,2,1,3,1,3,6,1,0,2,608,2,42,0,0,0,0,0,11,2008,2,5,223500
3,10,3,9550,1,3,3,0,0,0,5,7,5,1915,1970,1,0,0,0,0,216,0,540,756,1,0,1717,1,0,1,0,3,1,3,7,1,3,3,642,2,35,0,0,0,0,0,3,2006,2,0,140000
4,9,3,14260,1,3,3,0,2,0,5,8,5,2000,2000,1,350,3,2,3,655,0,490,1145,1,0,2198,1,0,2,1,4,1,3,9,1,0,3,836,2,84,0,0,0,0,0,2,2008,2,5,250000
5,8,3,14115,1,3,3,0,4,0,0,5,5,1993,1995,1,0,0,4,3,732,0,64,796,1,0,1362,1,0,1,1,1,1,0,5,0,4,2,480,2,30,0,0,0,0,0,10,2009,2,5,143000
6,4,3,10084,1,2,3,0,4,0,2,8,5,2004,2005,2,186,3,2,1,1369,0,317,1686,1,0,1694,1,0,2,0,3,1,3,7,1,3,2,636,2,57,0,0,0,0,0,1,2007,2,5,307000
8,8,4,6120,1,2,3,0,4,0,0,7,5,1931,1950,1,0,0,0,0,0,0,952,952,1,0,1774,0,0,2,0,2,1,0,8,2,0,2,468,2,0,0,0,0,0,0,0,2008,2,0,129900
9,3,3,7420,1,2,3,0,0,0,1,5,6,1939,1950,1,0,0,0,0,851,0,140,991,1,0,1077,1,0,1,0,2,1,0,5,2,0,1,205,2,4,0,0,0,0,0,4,2008,2,5,118000
10,4,3,11200,1,2,3,0,4,0,2,5,5,1965,1965,1,0,0,1,0,906,0,134,1040,1,0,1040,1,0,1,0,3,1,0,5,0,4,1,384,2,0,0,0,0,0,0,3,2008,2,5,129500
12,4,3,12968,1,1,3,0,4,0,2,5,6,1962,1962,1,0,0,1,0,737,0,175,912,1,0,912,1,0,1,0,2,1,0,4,0,4,1,352,2,0,0,0,0,0,0,11,2008,2,5,144000
13,4,3,10652,1,3,3,0,4,0,2,7,5,2006,2007,2,306,3,2,3,0,0,1494,1494,1,0,1494,0,0,2,0,3,1,3,7,1,3,3,840,2,33,0,0,0,0,0,1,2007,7,4,279500
15,7,4,6120,1,2,3,0,0,0,1,7,7,1929,2001,1,0,0,0,0,0,0,832,832,1,0,854,0,0,1,0,2,1,0,5,0,4,2,576,2,112,0,0,0,0,0,5,2007,2,5,132000
16,4,3,11241,1,3,3,0,1,0,2,6,7,1970,1970,1,180,0,1,0,578,0,426,1004,1,0,1004,1,0,1,0,2,1,0,5,1,0,2,480,2,0,0,0,0,0,0,7,2010,2,5,149000
18,4,3,13695,1,2,3,0,4,0,2,5,5,2004,2004,1,0,0,2,0,646,0,468,1114,1,0,1114,1,0,1,1,3,1,3,6,0,4,2,576,2,102,0,0,0,0,0,6,2008,2,5,159000
19,4,3,7560,1,2,3,0,4,0,2,5,6,1958,1965,1,0,0,1,0,504,0,525,1029,1,0,1339,0,0,1,0,3,1,0,6,0,4,1,294,2,0,0,0,0,0,0,8,2009,3,0,139000
21,7,4,7449,1,2,0,0,4,0,1,7,7,1930,1950,1,0,0,2,0,0,0,637,637,1,0,1108,0,0,1,0,3,1,3,6,1,3,1,280,0,0,0,0,0,0,0,6,2007,2,5,139400
22,4,3,9742,1,2,3,0,4,0,2,8,5,2002,2002,1,281,3,2,3,0,0,1685,1777,1,0,1795,0,0,2,0,3,1,3,7,1,3,2,534,2,159,0,0,0,0,0,11,2008,2,5,230000
